trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.01, 'e': 0.96}",30,0,-137.5749202992239,"{0: 20, 1: 3, 2: 4, 3: 1, 4: 2}",0
2,False,"{'a': 0.01, 'e': 0.9216}",25,0,-103.02356175643274,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
3,False,"{'a': 0.01, 'e': 0.8847359999999999}",20,11,-36.88260732503893,"{0: 6, 1: 1, 2: 0, 3: 2, 4: 0}",1
4,False,"{'a': 0.01, 'e': 0.8493465599999999}",25,0,-53.46862693855094,"{0: 17, 1: 5, 2: 1, 3: 2, 4: 0}",0
5,False,"{'a': 0.01, 'e': 0.8153726975999999}",20,0,-118.47665785432174,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
6,False,"{'a': 0.01, 'e': 0.7827577896959999}",25,0,-156.00652626551897,"{0: 12, 1: 2, 2: 8, 3: 2, 4: 1}",0
7,False,"{'a': 0.01, 'e': 0.7514474781081598}",25,8,-23.69238068664184,"{0: 14, 1: 1, 2: 0, 3: 2, 4: 0}",1
8,False,"{'a': 0.01, 'e': 0.7213895789838334}",25,0,-110.01976626094603,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.01, 'e': 0.69253399582448}",20,0,-88.83936617899583,"{0: 13, 1: 3, 2: 1, 3: 2, 4: 1}",0
10,False,"{'a': 0.01, 'e': 0.6648326359915008}",25,12,-136.90736964571764,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 3}",1
11,False,"{'a': 0.01, 'e': 0.6382393305518408}",25,0,-35.912245117963366,"{0: 19, 1: 1, 2: 5, 3: 0, 4: 0}",0
12,False,"{'a': 0.01, 'e': 0.6127097573297671}",20,0,-71.66869166547383,"{0: 13, 1: 1, 2: 4, 3: 2, 4: 0}",0
13,False,"{'a': 0.01, 'e': 0.5882013670365764}",20,0,-84.72574269144894,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",1
14,False,"{'a': 0.01, 'e': 0.5646733123551133}",20,14,-8.249101143349606,"{0: 4, 1: 1, 2: 1, 3: 0, 4: 0}",1
15,False,"{'a': 0.01, 'e': 0.5420863798609088}",25,0,-58.588801018775776,"{0: 18, 1: 1, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.01, 'e': 0.5204029246664724}",30,0,-146.1693910948768,"{0: 20, 1: 1, 2: 5, 3: 2, 4: 2}",0
17,False,"{'a': 0.01, 'e': 0.49958680767981345}",20,0,0.6769847306214437,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
18,False,"{'a': 0.01, 'e': 0.4796033353726209}",20,0,-75.22802071396342,"{0: 13, 1: 3, 2: 2, 3: 1, 4: 1}",0
19,False,"{'a': 0.01, 'e': 0.4604192019577161}",25,0,-17.813404957624638,"{0: 19, 1: 4, 2: 2, 3: 0, 4: 0}",0
20,False,"{'a': 0.01, 'e': 0.4420024338794074}",20,0,-72.37407071004489,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
21,False,"{'a': 0.01, 'e': 0.42432233652423107}",30,0,-83.4020829951834,"{0: 23, 1: 1, 2: 3, 3: 2, 4: 1}",0
22,False,"{'a': 0.01, 'e': 0.4073494430632618}",20,0,-122.51040205240193,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
23,False,"{'a': 0.01, 'e': 0.3910554653407313}",30,0,-45.38689563961376,"{0: 24, 1: 1, 2: 3, 3: 2, 4: 0}",0
24,False,"{'a': 0.01, 'e': 0.3754132467271021}",20,0,-48.941333161378985,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
25,False,"{'a': 0.01, 'e': 0.360396716858018}",20,4,-29.071579373145052,"{0: 10, 1: 3, 2: 3, 3: 0, 4: 0}",1
26,False,"{'a': 0.01, 'e': 0.34598084818369723}",20,6,-10.01854058502875,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
27,False,"{'a': 0.01, 'e': 0.33214161425634936}",20,0,-76.38095772402355,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
28,False,"{'a': 0.01, 'e': 0.3188559496860954}",20,0,-101.02660564061898,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
29,False,"{'a': 0.01, 'e': 0.3061017116986515}",20,0,-114.67984214617698,"{0: 14, 1: 0, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.01, 'e': 0.29385764323070546}",25,0,-13.217038625768655,"{0: 22, 1: 0, 2: 2, 3: 1, 4: 0}",0
31,False,"{'a': 0.01, 'e': 0.28210333750147726}",20,0,-100.04074763731765,"{0: 13, 1: 2, 2: 1, 3: 3, 4: 1}",0
32,False,"{'a': 0.01, 'e': 0.2708192040014181}",20,0,-33.14237689269893,"{0: 15, 1: 2, 2: 2, 3: 1, 4: 0}",0
33,False,"{'a': 0.01, 'e': 0.2599864358413614}",20,0,-27.133399954160165,"{0: 16, 1: 0, 2: 4, 3: 0, 4: 0}",0
34,False,"{'a': 0.01, 'e': 0.24958697840770694}",30,0,-102.0019962895789,"{0: 21, 1: 1, 2: 6, 3: 1, 4: 1}",0
35,False,"{'a': 0.01, 'e': 0.23960349927139865}",30,13,-7.778094123299186,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 0}",1
36,False,"{'a': 0.01, 'e': 0.2300193593005427}",20,0,-34.17710024956113,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
37,False,"{'a': 0.01, 'e': 0.22081858492852097}",20,0,-23.793368060659336,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
38,False,"{'a': 0.01, 'e': 0.21198584153138014}",30,12,-29.892260637379458,"{0: 14, 1: 1, 2: 1, 3: 2, 4: 0}",1
39,False,"{'a': 0.01, 'e': 0.20350640787012492}",20,0,-28.953162547954005,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
40,False,"{'a': 0.01, 'e': 0.19536615155531992}",20,0,-29.94006245222395,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
41,False,"{'a': 0.01, 'e': 0.18755150549310712}",25,11,23.0625892446761,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.01, 'e': 0.18004944527338282}",20,0,2.9333888119656653,"{0: 17, 1: 3, 2: 0, 3: 0, 4: 0}",0
43,False,"{'a': 0.01, 'e': 0.1728474674624475}",20,0,-69.26216863855763,"{0: 16, 1: 0, 2: 1, 3: 2, 4: 1}",0
44,False,"{'a': 0.01, 'e': 0.1659335687639496}",30,0,-25.079212527810533,"{0: 26, 1: 0, 2: 3, 3: 1, 4: 0}",0
45,False,"{'a': 0.01, 'e': 0.1592962260133916}",25,0,-30.91749123916028,"{0: 22, 1: 1, 2: 0, 3: 1, 4: 1}",0
46,False,"{'a': 0.01, 'e': 0.15292437697285594}",20,0,-40.86961482752488,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
47,False,"{'a': 0.01, 'e': 0.1468074018939417}",25,2,-67.887413023583,"{0: 19, 1: 2, 2: 0, 3: 0, 4: 2}",1
48,False,"{'a': 0.01, 'e': 0.14093510581818403}",25,0,-35.90431624691207,"{0: 21, 1: 2, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.01, 'e': 0.13529770158545665}",20,10,5.493021931720903,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
50,False,"{'a': 0.01, 'e': 0.12988579352203838}",30,0,-18.57146904334125,"{0: 28, 1: 0, 2: 0, 3: 1, 4: 1}",0
51,False,"{'a': 0.01, 'e': 0.12469036178115685}",30,17,-1.2437565798577053,"{0: 11, 1: 1, 2: 1, 3: 0, 4: 0}",1
52,False,"{'a': 0.01, 'e': 0.11970274730991057}",20,0,-3.5306177339855465,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
53,False,"{'a': 0.01, 'e': 0.11491463741751413}",25,0,24.38614273883707,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
54,False,"{'a': 0.01, 'e': 0.11031805192081356}",20,0,-27.81784832007974,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
55,False,"{'a': 0.01, 'e': 0.10590532984398102}",25,0,-79.35291507715871,"{0: 19, 1: 1, 2: 2, 3: 2, 4: 1}",0
56,False,"{'a': 0.01, 'e': 0.10166911665022178}",25,0,26.531830218215138,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
57,False,"{'a': 0.01, 'e': 0.09760235198421291}",20,0,10.050270060005484,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.01, 'e': 0.09369825790484439}",20,0,-68.73700212933042,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 2}",0
59,False,"{'a': 0.01, 'e': 0.0899503275886506}",20,0,21.188545249937942,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
60,False,"{'a': 0.01, 'e': 0.08635231448510458}",20,0,-58.89997901649751,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
61,False,"{'a': 0.01, 'e': 0.08289822190570038}",25,11,7.401997343348124,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.01, 'e': 0.07958229302947237}",30,5,38.36736994453555,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
63,False,"{'a': 0.01, 'e': 0.07639900130829347}",25,3,-30.017258508230366,"{0: 20, 1: 0, 2: 0, 3: 1, 4: 1}",1
64,False,"{'a': 0.01, 'e': 0.07334304125596174}",25,0,14.519713091782867,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
65,False,"{'a': 0.01, 'e': 0.07040931960572326}",20,8,-2.560156887747263,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
66,False,"{'a': 0.01, 'e': 0.06759294682149433}",20,6,12.393390742193803,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
67,False,"{'a': 0.01, 'e': 0.06488922894863455}",30,0,11.778077823687271,"{0: 28, 1: 1, 2: 0, 3: 1, 4: 0}",0
68,False,"{'a': 0.01, 'e': 0.06229365979068917}",20,14,-10.580215250395337,"{0: 5, 1: 0, 2: 0, 3: 1, 4: 0}",1
69,False,"{'a': 0.01, 'e': 0.0598019133990616}",35,13,-13.79217477596037,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 1}",1
70,False,"{'a': 0.01, 'e': 0.05740983686309913}",25,0,11.343275524798104,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
71,False,"{'a': 0.01, 'e': 0.05511344338857516}",25,0,-34.67695261804267,"{0: 23, 1: 0, 2: 0, 3: 1, 4: 1}",0
72,False,"{'a': 0.01, 'e': 0.052908905653032155}",25,8,24.17589309629378,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
73,False,"{'a': 0.01, 'e': 0.05079254942691087}",20,0,-28.420157060921277,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
74,False,"{'a': 0.01, 'e': 0.04876084744983443}",25,8,27.629171181844576,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
75,False,"{'a': 0.01, 'e': 0.046810413551841054}",20,0,-17.678672569172335,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
76,False,"{'a': 0.01, 'e': 0.04493799700976741}",20,2,3.9226829776947536,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 0}",1
77,False,"{'a': 0.01, 'e': 0.043140477129376714}",35,13,3.9626995912169827,"{0: 20, 1: 1, 2: 0, 3: 1, 4: 0}",1
78,False,"{'a': 0.01, 'e': 0.04141485804420164}",35,8,34.87870664188673,"{0: 27, 1: 0, 2: 0, 3: 0, 4: 0}",1
79,False,"{'a': 0.01, 'e': 0.03975826372243357}",20,11,6.8513879832849,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
80,False,"{'a': 0.01, 'e': 0.03816793317353623}",20,0,2.3121541935945475,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
81,False,"{'a': 0.01, 'e': 0.03664121584659478}",20,6,-6.383224623443559,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
82,False,"{'a': 0.01, 'e': 0.03517556721273098}",30,0,28.090854464471473,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
83,False,"{'a': 0.01, 'e': 0.03376854452422175}",20,9,19.637782825941056,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
84,False,"{'a': 0.01, 'e': 0.03241780274325288}",20,0,-11.751675444941341,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
85,False,"{'a': 0.01, 'e': 0.03112109063352276}",25,0,31.1204817263959,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
86,False,"{'a': 0.01, 'e': 0.029876247008181846}",20,0,27.88807749144004,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
87,False,"{'a': 0.01, 'e': 0.028681197127854573}",20,15,-11.36606289321017,"{0: 4, 1: 0, 2: 0, 3: 1, 4: 0}",1
88,False,"{'a': 0.01, 'e': 0.02753394924274039}",20,11,17.229758299867697,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
89,False,"{'a': 0.01, 'e': 0.026432591273030773}",25,17,12.711418994024804,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
90,False,"{'a': 0.01, 'e': 0.02537528762210954}",20,0,23.133744697485714,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
91,False,"{'a': 0.01, 'e': 0.024360276117225157}",20,6,21.98831590677589,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
92,False,"{'a': 0.01, 'e': 0.02338586507253615}",35,6,3.3734112145119974,"{0: 26, 1: 2, 2: 0, 3: 1, 4: 0}",1
93,False,"{'a': 0.01, 'e': 0.022450430469634703}",20,6,12.72093978164908,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
94,False,"{'a': 0.01, 'e': 0.021552413250849316}",20,0,12.318030114138153,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
95,False,"{'a': 0.01, 'e': 0.02069031672081534}",20,0,22.15418221559156,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
96,False,"{'a': 0.01, 'e': 0.019862704051982726}",25,0,18.719905976723474,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
97,False,"{'a': 0.01, 'e': 0.019068195889903418}",20,0,24.885574663710532,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
98,False,"{'a': 0.01, 'e': 0.01830546805430728}",20,0,16.379057588793582,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
99,False,"{'a': 0.01, 'e': 0.01757324933213499}",20,0,19.524810602176736,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
100,False,"{'a': 0.01, 'e': 0.016870319358849587}",20,14,6.688837974707575,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
101,False,"{'a': 0.01, 'e': 0.016195506584495603}",25,0,7.400355658708231,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
102,False,"{'a': 0.01, 'e': 0.01554768632111578}",25,0,30.25717517009305,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
103,False,"{'a': 0.01, 'e': 0.014925778868271147}",25,8,4.044721259634156,"{0: 16, 1: 0, 2: 0, 3: 1, 4: 0}",1
104,False,"{'a': 0.01, 'e': 0.0143287477135403}",30,0,0.39906744203978484,"{0: 29, 1: 0, 2: 0, 3: 0, 4: 1}",0
105,False,"{'a': 0.01, 'e': 0.013755597804998689}",20,11,17.58844088506278,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
106,False,"{'a': 0.01, 'e': 0.01320537389279874}",25,5,26.323578270202976,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
107,False,"{'a': 0.01, 'e': 0.01267715893708679}",25,11,23.349594033705593,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.01, 'e': 0.012170072579603317}",25,0,28.749091331028925,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
109,False,"{'a': 0.01, 'e': 0.011683269676419184}",20,0,-18.38843317956873,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
110,False,"{'a': 0.01, 'e': 0.011215938889362417}",25,0,9.909980655486288,"{0: 23, 1: 0, 2: 2, 3: 0, 4: 0}",0
111,False,"{'a': 0.01, 'e': 0.010767301333787921}",30,0,-29.18417160970444,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
112,False,"{'a': 0.01, 'e': 0.010336609280436403}",30,10,-13.102483139238315,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",1
113,False,"{'a': 0.01, 'e': 0.009923144909218947}",30,13,28.293532329730986,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.01, 'e': 0.009526219112850188}",25,0,37.90055968378601,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.01, 'e': 0.00914517034833618}",20,5,-15.323629830742245,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
116,False,"{'a': 0.01, 'e': 0.008779363534402732}",20,0,24.288831091004585,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
117,False,"{'a': 0.01, 'e': 0.008428188993026622}",20,12,14.41530949034538,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.01, 'e': 0.008091061433305558}",20,0,23.894213758372445,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
119,False,"{'a': 0.01, 'e': 0.007767418975973335}",30,0,40.219618759701945,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
120,False,"{'a': 0.01, 'e': 0.007456722216934402}",25,6,26.25142419594035,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.01, 'e': 0.007158453328257025}",20,0,22.76801909471426,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
122,False,"{'a': 0.01, 'e': 0.0068721151951267444}",20,0,27.844424975157292,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.01, 'e': 0.006597230587321674}",25,0,25.49536932348427,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
124,False,"{'a': 0.01, 'e': 0.006333341363828807}",25,0,28.31840721380388,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
125,False,"{'a': 0.01, 'e': 0.006080007709275655}",25,0,-10.28410781636015,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
126,False,"{'a': 0.01, 'e': 0.005836807400904628}",25,11,26.237400341154625,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.01, 'e': 0.005603335104868443}",30,4,-2.3774652373484733,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 1}",1
128,False,"{'a': 0.01, 'e': 0.005379201700673705}",20,6,19.709596575469188,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.01, 'e': 0.005164033632646756}",20,0,-13.393193435161482,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
130,False,"{'a': 0.01, 'e': 0.0049574722873408856}",30,0,-42.1891895238787,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
131,False,"{'a': 0.01, 'e': 0.00475917339584725}",20,0,21.552241381466864,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
132,False,"{'a': 0.01, 'e': 0.00456880646001336}",30,15,-22.95354670573565,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
133,False,"{'a': 0.01, 'e': 0.004386054201612826}",30,0,-35.10193842906954,"{0: 27, 1: 1, 2: 0, 3: 1, 4: 1}",0
134,False,"{'a': 0.01, 'e': 0.004210612033548312}",20,0,24.187404709654764,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
135,False,"{'a': 0.01, 'e': 0.00404218755220638}",20,0,20.5651207056437,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
136,False,"{'a': 0.01, 'e': 0.0038805000501181243}",30,0,33.297359805701625,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
137,False,"{'a': 0.01, 'e': 0.003725280048113399}",30,0,36.30002925313651,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
138,False,"{'a': 0.01, 'e': 0.003576268846188863}",25,0,-14.90473832417231,"{0: 23, 1: 1, 2: 0, 3: 0, 4: 1}",0
139,False,"{'a': 0.01, 'e': 0.0034332180923413087}",30,0,40.90522639211877,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
140,False,"{'a': 0.01, 'e': 0.003295889368647656}",30,16,24.415883000009007,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.01, 'e': 0.00316405379390175}",20,0,23.923828084860467,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
142,False,"{'a': 0.01, 'e': 0.0030374916421456797}",20,0,23.159407425577395,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
143,False,"{'a': 0.01, 'e': 0.0029159919764598524}",35,0,-14.55325802254347,"{0: 33, 1: 0, 2: 1, 3: 0, 4: 1}",0
144,False,"{'a': 0.01, 'e': 0.0027993522974014582}",25,17,13.40838102477435,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.01, 'e': 0.0026873782055054}",30,4,35.11861920998851,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
146,False,"{'a': 0.01, 'e': 0.0025798830772851837}",20,8,12.699057233535209,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
147,False,"{'a': 0.01, 'e': 0.002476687754193776}",20,0,20.76855174796901,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
148,False,"{'a': 0.01, 'e': 0.002377620244026025}",20,2,28.33920788766097,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.01, 'e': 0.002282515434264984}",25,11,17.162732973774055,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.01, 'e': 0.0021912148168943845}",25,14,21.21487980263641,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.01, 'e': 0.0021035662242186092}",20,12,12.600686896992489,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.01, 'e': 0.0020194235752498645}",20,7,10.990630989605876,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.01, 'e': 0.0019386466322398699}",25,14,14.768013030206134,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.01, 'e': 0.001861100766950275}",35,23,23.01927916003973,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.01, 'e': 0.001786656736272264}",30,0,34.627591701872916,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.01, 'e': 0.0017151904668213733}",25,0,31.99622096034304,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.01, 'e': 0.0016465828481485184}",20,0,25.23738166217956,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
158,False,"{'a': 0.01, 'e': 0.0015807195342225776}",20,0,25.381709899354203,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
159,False,"{'a': 0.01, 'e': 0.0015174907528536744}",20,0,23.910716345697594,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
160,False,"{'a': 0.01, 'e': 0.0014567911227395273}",20,6,22.916469327537342,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.01, 'e': 0.0013985194778299462}",20,10,-26.58108233616831,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
162,False,"{'a': 0.01, 'e': 0.0013425786987167484}",20,0,23.29316234292862,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
163,False,"{'a': 0.01, 'e': 0.0012888755507680784}",20,0,20.435585760830094,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
164,False,"{'a': 0.01, 'e': 0.0012373205287373552}",20,0,24.999811803990013,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
165,False,"{'a': 0.01, 'e': 0.001187827707587861}",25,0,5.493706530911952,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
166,False,"{'a': 0.01, 'e': 0.0011403145992843465}",25,0,-8.78089493427549,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
167,False,"{'a': 0.01, 'e': 0.0010947020153129726}",25,0,-8.013593691474988,"{0: 24, 1: 0, 2: 0, 3: 0, 4: 1}",0
168,False,"{'a': 0.01, 'e': 0.0010509139347004536}",20,0,17.405430341696103,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
169,False,"{'a': 0.01, 'e': 0.0010088773773124355}",25,0,28.547315101574018,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
170,False,"{'a': 0.01, 'e': 0.000968522282219938}",30,0,34.46113975538983,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
171,False,"{'a': 0.01, 'e': 0.0009297813909311404}",25,0,34.75409249649431,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
172,False,"{'a': 0.01, 'e': 0.0008925901352938948}",30,4,35.91972021736988,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.01, 'e': 0.000856886529882139}",20,0,25.101358989022795,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
174,False,"{'a': 0.01, 'e': 0.0008226110686868534}",20,12,13.927293144609408,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
175,False,"{'a': 0.01, 'e': 0.0007897066259393793}",25,8,23.40649277278613,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
176,False,"{'a': 0.01, 'e': 0.000758118360901804}",20,0,18.114422273259944,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
177,False,"{'a': 0.01, 'e': 0.0007277936264657318}",20,0,24.439392953294263,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
178,False,"{'a': 0.01, 'e': 0.0006986818814071025}",20,0,26.44238722812058,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
179,False,"{'a': 0.01, 'e': 0.0006707346061508184}",25,5,27.575674043381493,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.01, 'e': 0.0006439052219047856}",20,3,20.684854286617437,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
181,False,"{'a': 0.01, 'e': 0.0006181490130285942}",25,15,18.849202292213832,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.01, 'e': 0.0005934230525074504}",20,10,15.452068737764337,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.01, 'e': 0.0005696861304071523}",25,11,-0.9715863268808418,"{0: 13, 1: 0, 2: 0, 3: 1, 4: 0}",1
184,False,"{'a': 0.01, 'e': 0.0005468986851908663}",20,0,3.868344880291231,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
